Flight_date,Plot_ID,R_mean,R_median,R_count,R_std,G_mean,G_median,G_count,G_std,B_mean,B_median,B_count,B_std,BCC_mean,BCC_median,BCC_count,BCC_std,BdivG_mean,BdivG_median,BdivG_count,BdivG_std,BI_mean,BI_median,BI_count,BI_std,BIM_mean,BIM_median,BIM_count,BIM_std,CI_mean,CI_median,CI_count,CI_std,CIVE_mean,CIVE_median,CIVE_count,CIVE_std,COM1_mean,COM1_median,COM1_count,COM1_std,COM2_mean,COM2_median,COM2_count,COM2_std,ExG_mean,ExG_median,ExG_count,ExG_std,ExG2_mean,ExG2_median,ExG2_count,ExG2_std,ExGR_mean,ExGR_median,ExGR_count,ExGR_std,EXR_mean,EXR_median,EXR_count,EXR_std,GCC_mean,GCC_median,GCC_count,GCC_std,GdivB_mean,GdivB_median,GdivB_count,GdivB_std,GdivR_mean,GdivR_median,GdivR_count,GdivR_std,GLI_mean,GLI_median,GLI_count,GLI_std,GmnB_mean,GmnB_median,GmnB_count,GmnB_std,GmnR_mean,GmnR_median,GmnR_count,GmnR_std,HI_mean,HI_median,HI_count,HI_std,HUE_mean,HUE_median,HUE_count,HUE_std,I_mean,I_median,I_count,I_std,IF_mean,IF_median,IF_count,IF_std,MExG_mean,MExG_median,MExG_count,MExG_std,MGVRI_mean,MGVRI_median,MGVRI_count,MGVRI_std,MRCCbyAlper_mean,MRCCbyAlper_median,MRCCbyAlper_count,MRCCbyAlper_std,MSRGR_mean,MSRGR_median,MSRGR_count,MSRGR_std,MyIndexi_mean,MyIndexi_median,MyIndexi_count,MyIndexi_std,NDI_mean,NDI_median,NDI_count,NDI_std,NDRBI_mean,NDRBI_median,NDRBI_count,NDRBI_std,NGBDI_mean,NGBDI_median,NGBDI_count,NGBDI_std,NGRDI_mean,NGRDI_median,NGRDI_count,NGRDI_std,RCC_mean,RCC_median,RCC_count,RCC_std,RdiB_mean,RdiB_median,RdiB_count,RdiB_std,RGBVI_mean,RGBVI_median,RGBVI_count,RGBVI_std,RI_mean,RI_median,RI_count,RI_std,RmnB_mean,RmnB_median,RmnB_count,RmnB_std,SI_mean,SI_median,SI_count,SI_std,TGI_mean,TGI_median,TGI_count,TGI_std,TNDGR_mean,TNDGR_median,TNDGR_count,TNDGR_std,VARI_mean,VARI_median,VARI_count,VARI_std,VEG_mean,VEG_median,VEG_count,VEG_std
08_14_2020_RGB_Pix4D.tif,20011001,134.36906,130,65317,31.789677,141.9759,142,65317,27.342857,50.644535,42,65317,29.16036,0.14690326,0.13564669,65317,0.044491984,0.34488872,0.30136988,65317,0.1420033,117.17045,114.01754,65317,27.073185,14.65212,14.468356,65317,1.8188902,0.6408363,0.672,65317,0.1210965,-17.6001,-21.518549,65317,11.52637,135.67456,155.09642,65317,59.36736,27.607346,29.316193,65317,4.993126,98.93821,109,65317,28.776037,0.32211152,0.34745762,65317,0.1129052,52.797417,66,65317,43.167236,46.140778,41.800003,65317,20.62556,0.44070384,0.44915253,65317,0.037635066,3.3264165,3.3181818,65317,1.2747161,1.06904,1.0724638,65317,0.08910551,0.22164994,0.23976608,65317,0.07388866,91.33137,98,65317,21.19814,7.6068406,10,65317,10.641549,0.87253404,0.8076923,65317,0.2758213,-0.74509776,-1.5637362,65317,1.3500174,10.720966,10.295082,65317,2.736453,0.87253404,0.8076923,65317,0.2758213,44.64088,48.982986,65317,14.375319,0.06276782,0.06984468,65317,0.08316209,7823.032,7003.399,65317,3641.0627,1.0330417,1.0355983,65317,0.043182462,0.5971298,0.6142857,65317,0.09503525,132.04073,132.47552,65317,5.356038,0.48207206,0.5060241,65317,0.119637966,0.45387894,0.47239265,65317,0.09999166,0.031568162,0.034965035,65317,0.041844044,0.41239294,0.41314554,65317,0.015107839,3.063089,3.0487804,65317,1.0072503,0.5197043,0.5657663,65317,0.1639116,-0.031568162,-0.034965035,65317,0.041844044,83.724525,85,65317,17.237953,1,1,65317,0,124.5167,120.04,65317,32.192642,0.7285164,0.73141307,65317,0.028844643,0.03532214,0.041420117,65317,0.05042469,1.5390371,1.568127,65317,0.25573453
08_21_2020_RGB_Pix4D.tif,20011001,175.97961,176,58037,31.988522,169.51288,169,58037,33.21412,68.46009,65,58036,32.11804,0.15782578,0.15789473,58036,0.049508303,0.39263132,0.38209462,58036,0.14905272,147.16081,146.27599,58036,29.326168,16.508602,16.532797,58036,1.8537089,0.62529826,0.6315789,58036,0.1358847,-14.723618,-17.020046,58036,12.413335,98.97177,106.48664,58036,57.99909,27.365984,28.461525,58036,5.5970993,94.58686,101,58036,31.649096,0.23845634,0.23870967,58036,0.0921375,17.72727,21.199982,58036,39.721508,76.858574,78.19998,58037,16.063063,0.4128188,0.41290322,58036,0.0307125,3.141594,2.6171527,58036,2.725311,0.9623892,0.96407187,58037,0.060637318,0.1674444,0.16894977,58036,0.061491776,101.05396,106,58036,24.874609,-6.466737,-7,58037,9.4967785,1.1785632,1.122807,58036,0.26507735,0.7655817,1.5625443,58036,1.3255267,13.572307,13.442623,58036,2.9957173,1.1785632,1.122807,58036,0.26507735,37.0683,39.329,58036,15.49881,-0.040135227,-0.036573127,58037,0.06272411,13560.558,13207.851,58036,4377.4497,0.9805274,0.9818716,58037,0.030906646,0.65060127,0.6527778,58036,0.14131394,125.42228,125.65854,58037,4.033296,0.46901235,0.46153846,58036,0.14457536,0.4821109,0.4729064,58036,0.14857414,-0.020138398,-0.018292682,58037,0.031510122,0.4293554,0.4279919,58036,0.025259877,3.2433722,2.7142856,58036,2.6720147,0.4349275,0.43312737,58036,0.1661629,0.020138398,0.018292682,58037,0.031510122,107.52107,112,58036,20.400778,1,1,58036,0,148.11888,145.875,58036,39.50781,0.6923442,0.6940514,58037,0.022829488,-0.026093334,-0.022727273,58036,0.039399855,1.3812572,1.339941,58036,0.25681403
08_27_2020_RGB_Pix4D.tif,20011001,177.53998,173,66411,34.288406,153.98907,147,66411,37.113323,97.42217,94,66411,27.337042,0.2249596,0.22788204,66411,0.022021072,0.6303364,0.6387665,66411,0.07511429,147.06451,142.03052,66411,32.3556,16.803999,16.613247,66411,1.8955433,0.4577713,0.45086706,66411,0.07157921,9.704983,11.74645,66411,7.693257,-17.776932,-27.603506,66411,30.279594,16.62611,15.802996,66411,3.7484848,33.01599,28,66411,20.398651,0.07403702,0.06681035,66411,0.037866943,-61.55092,-66.20001,66411,19.253798,94.566895,94.399994,66411,12.632916,0.35801232,0.35560346,66411,0.012622315,1.6122591,1.5655172,66411,0.22186852,0.86004615,0.85119045,66411,0.04766845,0.054266557,0.049284577,66411,0.027126841,56.566895,56,66411,16.534073,-23.550903,-25,66411,6.1039176,1.9308848,1.9841269,66411,0.5874434,1.5602341,1.5679486,66411,0.13882913,14.063974,13.5737705,66411,3.1763413,1.9308848,1.9841269,66411,0.5874434,7.0905685,2.8769875,66411,11.12272,-0.15069374,-0.15973948,66411,0.053574663,13479.163,12536.845,66411,4766.5063,0.9270349,0.92259985,66411,0.025542103,0.53588957,0.52459013,66411,0.1008719,118.279686,117.71061,66411,3.4874077,0.29970077,0.29104477,66411,0.062139515,0.33172643,0.32012194,66411,0.07694365,-0.075940005,-0.08038585,66411,0.027245373,0.417028,0.41532257,66411,0.017927805,1.8810045,1.8210527,66411,0.28687173,0.15633853,0.14607549,66411,0.06514647,0.075940005,0.08038585,66411,0.027245373,80.1178,82,66411,14.323473,1,1,66411,0,151.96977,144.98001,66411,41.78507,0.65086585,0.6477763,66411,0.020822752,-0.1069066,-0.1160221,66411,0.03695544,1.0530092,1.0403395,66411,0.059324205
09_03_2020_RGB_Pix4D.tif,20011001,158.53444,166,66621,52.917965,136.3002,142,66621,54.414925,97.235794,99,66621,44.995674,0.23869975,0.24539877,66621,0.031693146,0.6923247,0.7094595,66621,0.0895407,133.39882,138.51595,66621,50.219128,15.812253,16.472198,66621,3.3694081,0.41722873,0.3989071,66621,0.11402481,15.597456,15.7894535,66621,4.9645066,-35.39175,-36.090244,66621,16.300066,13.559409,13.739798,66621,2.8286448,16.830173,17,66621,14.245295,0.034156587,0.041322313,66621,0.03669186,-68.817856,-69.80002,66621,14.335135,85.64802,91,66621,20.658716,0.34471884,0.34710744,66621,0.012230619,1.4790587,1.4095238,66621,0.32043204,0.834591,0.85142857,66621,0.08359315,0.025151117,0.030674847,66621,0.0274325,39.064407,42,66621,12.914512,-22.234236,-23,66621,5.5421762,2.348394,2.1914895,66621,1.03647,1.5638101,1.5674998,66621,0.07150267,12.854769,13.344262,66621,4.9689326,2.348394,2.1914895,66621,1.03647,1.6260763,0.4710064,66621,9.4467325,-0.18168457,-0.15946692,66621,0.09933301,11163.441,11343.75,66621,5933.9307,0.9123264,0.9227289,66621,0.04744933,0.52015984,0.46875,66621,0.21657483,116.15144,117.72839,66621,6.781514,0.27074248,0.24914676,66621,0.09983316,0.31476152,0.2749004,66621,0.15850772,-0.09256676,-0.08024691,66621,0.052980587,0.41658136,0.40782124,66621,0.037006173,1.822013,1.6636363,66621,0.7299947,0.095075466,0.09383581,66621,0.054545723,0.09256676,0.08024691,66621,0.052980587,61.298645,65,66621,13.859012,1,1,66621,0,141.56448,144.86002,66621,64.7625,0.63681555,0.64788353,66611,0.044359185,-0.13149731,-0.11914894,66621,0.06490948,0.99847776,1.0066205,66621,0.052060563
09_11_2020_RGB_Pix4D.tif,20011001,186.17598,191,66526,29.529947,168.16219,172,66526,32.561302,127.33001,128,66526,29.881,0.26185054,0.2615694,66526,0.013873527,0.7505595,0.75,66526,0.038260702,162.52046,166.0783,66526,30.21798,17.829552,18.110771,66526,1.7942059,0.32504568,0.32804233,66526,0.060770907,13.533575,13.1424465,66526,2.4592652,-32.295044,-31.99652,66526,8.253561,14.748596,15.050504,66526,1.3655378,22.818401,24,66526,6.9625583,0.04654523,0.047722343,66526,0.00896238,-69.665794,-70.00003,66526,6.9098644,92.48417,95,66526,9.54457,0.3488484,0.34924078,66526,0.00298746,1.3359047,1.3333334,66526,0.07026662,0.89756036,0.89847714,66526,0.03852172,0.034492813,0.035369776,66526,0.006576267,40.832188,42,66526,4.512494,-18.013784,-19,66526,4.3804994,1.901584,1.8837209,66526,0.2752771,1.5667901,1.5670272,66526,0.000969427,15.792398,16.131147,66526,3.0059004,1.901584,1.8837209,66526,0.2752771,8.041487,7.947998,66526,6.354063,-0.10836538,-0.106646895,66526,0.042672135,13685.77,14241.224,66526,3561.5605,0.94717646,0.9478803,66526,0.020425443,0.36566696,0.36516854,66526,0.08425407,121.03385,121.15508,66526,2.7632,0.19565192,0.19620253,66526,0.043873627,0.2100041,0.20877272,66526,0.05310832,-0.054423064,-0.053475935,66526,0.0215875,0.38930106,0.3891129,66526,0.015096337,1.4941456,1.488189,66526,0.14102447,0.08937131,0.089534424,66526,0.012738316,0.054423064,0.053475935,66526,0.0215875,58.84597,60,66526,5.5340347,1,1,66526,0,183.41127,186.04001,66526,41.698677,0.66731703,0.6682246,66526,0.016275663,-0.08331492,-0.08264463,66526,0.0301113,1.0187716,1.0222576,66526,0.01641109
09_17_2020_RGB_Pix4D.tif,20011001,190.4049,198,67254,36.771435,176.14037,184,67254,40.060234,139.76756,146,67254,37.62215,0.2719592,0.27586207,67254,0.020028034,0.78283656,0.7916667,67254,0.055917025,170.23729,177.46548,67254,37.614803,18.224901,18.761663,67254,2.3226786,0.28081566,0.26600984,67254,0.08336619,13.7167,12.991461,67254,2.7479935,-31.47538,-30.733784,67254,10.074738,14.57887,15.030089,67254,1.5469322,22.108246,24,67254,7.822728,0.04206187,0.04494382,67254,0.01694086,-68.31829,-68.400024,67254,9.067618,90.42651,92.79999,67254,12.033702,0.34735397,0.3483146,67254,0.005646953,1.2855846,1.2631578,67254,0.120888256,0.91556084,0.9296482,67254,0.05413338,0.03116513,0.033333335,67254,0.012646646,36.372795,38,67254,5.4632883,-14.264549,-14,67254,4.5935965,1.8323591,1.7142857,67254,0.46385005,1.560439,1.5658897,67254,0.11449442,16.60042,17.311476,67254,3.741946,1.8323591,1.7142857,67254,0.46385005,10.503476,12.196003,67254,7.0839,-0.08932543,-0.07281987,67254,0.06192363,14077.819,14732.965,67254,4258.929,0.9563917,0.9641827,67254,0.02959346,0.3140492,0.28654972,67254,0.12869485,122.24186,123.333336,67254,4.109226,0.1663774,0.1534091,67254,0.06301172,0.1786127,0.160221,67254,0.08489352,-0.04498548,-0.036458332,67254,0.03210333,0.3806869,0.3756906,67254,0.022448877,1.417763,1.3624161,67254,0.26285365,0.07856816,0.078661576,67254,0.023144849,0.04498548,0.036458332,67254,0.03210333,50.637344,52,67254,6.3798285,1,1,67254,0,198.32208,207.35,67254,51.66198,0.6740635,0.68083894,67254,0.02555155,-0.06977771,-0.05882353,67254,0.04267247,1.0179569,1.0247455,67254,0.025958035
08_14_2020_RGB_Pix4D.tif,20011002,159.14395,160,65330,27.528528,164.2508,165,65330,24.749826,56.411495,51,65330,24.570898,0.1438802,0.13709678,65330,0.03989346,0.3379979,0.3112583,65330,0.11985226,136.43771,136.04288,65330,23.20719,15.84144,15.832457,65330,1.5009774,0.65460145,0.675,65330,0.106662884,-22.51903,-25.176538,65330,10.496028,146.33109,158.86958,65330,50.979828,30.333126,31.482214,65330,4.6824384,112.94614,120,65330,26.59113,0.3079909,0.31851852,65330,0.090353005,54.395382,62,65330,35.94738,58.55073,59,65330,16.536243,0.435997,0.43950617,65330,0.030117668,3.3324487,3.212766,65330,1.208733,1.0375141,1.0308642,65330,0.059540346,0.21324274,0.2212693,65330,0.058955677,107.839294,112,65330,21.082228,5.106842,5,65330,8.1979885,0.9252349,0.91366905,65330,0.1751698,-0.7286426,-1.5600573,65330,1.3389642,12.452663,12.327868,65330,2.340165,0.9252349,0.91366905,65330,0.1751698,49.057262,51.813496,65330,12.522199,0.035056427,0.030388119,65330,0.056599222,10921.695,10818.138,65330,3500.8264,1.0181692,1.0153148,65330,0.029081156,0.6289682,0.64285713,65330,0.085935384,130.25055,129.94528,65330,3.63598,0.49545854,0.509434,65330,0.112984985,0.47851744,0.4918033,65330,0.098113924,0.017582344,0.015197569,65330,0.028406095,0.42012283,0.42093024,65330,0.013924893,3.176121,3.0769231,65330,1.0222207,0.5158428,0.53984964,65330,0.14134176,-0.017582344,-0.015197569,65330,0.028406095,102.73245,104,65330,17.783316,1,1,65330,0,141.10858,138.03,65330,27.536982,0.71916246,0.71777266,65330,0.019691832,0.019518409,0.01793722,65330,0.03392186,1.5085937,1.5076804,65330,0.22048084
08_21_2020_RGB_Pix4D.tif,20011002,205.47244,208,58037,30.397476,193.31947,196,58037,35.020893,88.822426,88,58037,32.668316,0.17705815,0.18039216,58037,0.042071745,0.45194507,0.45575222,58037,0.1272262,171.32109,172.61421,58037,29.696882,17.945488,18.073921,58037,1.7423286,0.57722974,0.5739645,58037,0.11950875,-13.184655,-13.758539,58037,12.090803,78.43103,78.03523,58037,53.551334,27.262896,27.655684,58037,5.5447164,92.34407,94,58037,31.114616,0.19301458,0.18705036,58037,0.06937109,-1.9978942,-3.600006,58037,35.162342,94.341934,96,58037,11.650034,0.3976715,0.39568347,58037,0.023123696,2.4796424,2.1941748,58037,1.2423333,0.9365372,0.9424779,58037,0.05101994,0.13731904,0.13402061,58037,0.047047943,104.49705,107,58037,24.898684,-12.152971,-12,58037,8.818197,1.2785265,1.2258065,58037,0.24386281,1.3210838,1.566678,58037,0.7849652,15.987357,16.065575,58037,3.0277886,1.2785265,1.2258065,58037,0.24386281,34.707752,36.03801,58037,15.470377,-0.0667433,-0.05917362,58037,0.05489228,18135.934,18363.857,58037,4529.217,0.96738327,0.970813,58037,0.026585797,0.61911076,0.61165047,58037,0.13757773,123.71205,124.209564,58037,3.5412352,0.4159557,0.40248963,58037,0.122853205,0.4375455,0.42068964,58037,0.13534899,-0.03349964,-0.029612755,58037,0.027665898,0.4252703,0.4227941,58037,0.024896407,2.6536639,2.3472223,58037,1.3430037,0.35974687,0.3443526,58037,0.13327743,0.03349964,0.029612755,58037,0.027665898,116.65002,119,58037,20.67101,1,1,58037,0,174.47269,174.48001,58037,42.435535,0.6827005,0.6858478,58037,0.02050111,-0.043041863,-0.038123168,58037,0.035012834,1.2694988,1.2380798,58037,0.16353776
08_27_2020_RGB_Pix4D.tif,20011002,175.75623,170,66383,31.15108,150.53467,143,66383,32.483013,100.787674,97,66383,24.703814,0.23455694,0.23713647,66383,0.018719018,0.667894,0.67469877,66383,0.06268824,145.85637,140.01309,66383,28.998133,16.78935,16.532797,66383,1.6842571,0.4306866,0.4235808,66383,0.06424874,13.015589,14.196451,66383,5.2541976,-32.433243,-37.00367,66383,18.596373,15.1206255,14.598756,66383,2.7029226,24.525436,22,66383,14.317514,0.05521223,0.05279503,66383,0.025189934,-70.998634,-72.400024,66383,12.011032,95.52404,94.59999,66383,12.320435,0.3517374,0.35093167,66383,0.008396644,1.5115018,1.4821428,66383,0.15341602,0.8513791,0.84705883,66383,0.03675914,0.040731803,0.03908046,66383,0.018285751,49.746998,50,66383,13.110547,-25.221563,-25,66383,4.662409,2.0846407,2.1304348,66383,0.30192295,1.5677203,1.5680411,66383,0.016151797,14.002577,13.442623,66383,2.8453956,2.0846407,2.1304348,66383,0.30192295,3.2612731,0.48700333,66383,7.7866955,-0.16014326,-0.1644774,66383,0.041704904,13077.95,12086.575,66383,4380.2656,0.92248887,0.920358,66383,0.019833922,0.50883216,0.49612403,66383,0.09204662,117.670654,117.401276,66383,2.7242875,0.27663037,0.26869807,66383,0.053532526,0.30733845,0.29615384,66383,0.06711142,-0.08069804,-0.08280255,66383,0.021283496,0.41370568,0.4116608,66383,0.015923062,1.7811584,1.7348485,66383,0.22237155,0.12230592,0.11904384,66383,0.045629326,0.08069804,0.08280255,66383,0.021283496,74.96856,76,66383,13.500289,1,1,66383,0,151.53322,143.90001,66383,36.960033,0.6473271,0.64590824,66383,0.016418746,-0.11603958,-0.121673,66383,0.028242407,1.0243683,1.019074,66383,0.037342224
09_03_2020_RGB_Pix4D.tif,20011002,159.50682,168,66620,51.864353,137.74974,144,66620,53.25973,99.71999,103,66620,44.169968,0.24279045,0.24941725,66620,0.029542932,0.70503014,0.7207207,66620,0.08265238,134.85501,140.91547,66620,49.265823,15.929657,16.633299,66620,3.3010626,0.4031696,0.38323355,66620,0.108746395,15.807113,15.872456,66620,4.511803,-36.211075,-36.330482,66620,14.170641,13.456874,13.696592,66620,2.6369517,16.27268,17,66620,13.129057,0.032751206,0.04,66620,0.033684947,-69.28713,-70.20001,66620,13.346683,85.559784,91,66620,20.266523,0.3442504,0.34666666,66620,0.011228315,1.4449357,1.3875,66620,0.2546145,0.8401184,0.85714287,66620,0.08003404,0.024153035,0.02970297,66620,0.025252307,38.02975,41,66620,12.047205,-21.75707,-22,66620,5.279442,inf,2.1818182,66620,nan,1.5653253,1.5674187,66620,0.039391007,13.015625,13.606558,66620,4.872559,inf,2.1818182,66620,nan,1.8232312,1.0044918,66620,8.955114,-0.17508587,-0.15294118,66620,0.09494071,11182.495,11478.972,66620,5790.562,0.9154599,0.9258201,66620,0.04529589,0.49811628,0.4469697,66620,0.20373338,116.59847,118.15385,66620,6.4599485,0.258807,0.23703703,66620,0.09355345,0.2984347,0.26,66620,0.14681953,-0.08907447,-0.07692308,66620,0.05046835,0.41295916,0.40416667,66620,0.034909364,1.762623,1.6213592,66620,0.6398865,0.08874818,0.08999567,66620,0.047677223,0.08907447,0.07692308,66620,0.05046835,59.78682,63,66620,13.177374,1,1,66620,0,144.34889,149.23001,66620,63.492386,0.6396871,0.6504436,66614,0.04207264,-0.12792908,-0.115,66620,0.0624558,0.99626565,1.0051768,66620,0.0473728
